kernel,C,A,gamma,mean_cindex,std,prop_censor
exponential,1.0,,2.0,0.5977950198652286,0.11569896574809446,0.06
exponential,1.0,,4.0,0.5396457800634665,0.09749785802713952,0.06
exponential,1.0,,8.0,0.532056209735723,0.0949041487017594,0.06
exponential,2.0,,0.125,0.7002146911011008,0.11078437139025367,0.06
exponential,2.0,,0.25,0.6985119508146398,0.1218553652889551,0.06
exponential,2.0,,0.5,0.7279244347551945,0.11826313698588052,0.06
exponential,2.0,,1.0,0.6741803301898507,0.09950205218986356,0.06
exponential,2.0,,2.0,0.616082359522162,0.11858012522098574,0.06
exponential,2.0,,4.0,0.553608100711549,0.1036098720124039,0.06
exponential,2.0,,8.0,0.5308475272537302,0.10789365328672756,0.06
exponential,4.0,,0.125,0.6896490237244999,0.12516620002686688,0.06
exponential,4.0,,0.25,0.7133903291993983,0.12051629066983383,0.06
exponential,4.0,,0.5,0.7153037688935419,0.10727024894139764,0.06
exponential,4.0,,1.0,0.6872531843424666,0.1223316865973501,0.06
exponential,4.0,,2.0,0.6495204101308842,0.11154354122895067,0.06
exponential,4.0,,4.0,0.5695129837555408,0.12595412029017833,0.06
exponential,4.0,,8.0,0.5326213555904716,0.10741955922574539,0.06
poly,0.25,,0.125,0.6769490136028121,0.13171363759439875,0.06
poly,0.25,,0.25,0.7172714231612352,0.10871131139982122,0.06
poly,0.25,,0.5,0.7529698787257512,0.1044874872908805,0.06
poly,0.25,,1.0,0.6636293615433837,0.13987372627054423,0.06
poly,0.25,,2.0,0.5807471940996036,0.1391006088414856,0.06
poly,0.25,,4.0,0.5397550580349442,0.1445573502620754,0.06
poly,0.25,,8.0,0.5480554274293397,0.15921427067822283,0.06
poly,0.5,,0.125,0.6862009283320298,0.11852553732535269,0.06
poly,0.5,,0.25,0.7483457448169547,0.10501626234209782,0.06
poly,0.5,,0.5,0.7107958025020775,0.12684511295328177,0.06
poly,0.5,,1.0,0.6326134102071745,0.13132947332711567,0.06
poly,0.5,,2.0,0.5742024577679186,0.13644500691311914,0.06
poly,0.5,,4.0,0.567942123348817,0.15178038585959716,0.06
poly,0.5,,8.0,0.5466034347916873,0.14897623349838685,0.06
poly,1.0,,0.125,0.7244259733556011,0.12692833360341543,0.06
poly,1.0,,0.25,0.7467115640471984,0.1206213131586343,0.06
poly,1.0,,0.5,0.7168056767419947,0.1274392354609915,0.06
poly,1.0,,1.0,0.6095363777897311,0.14759387782148345,0.06
poly,1.0,,2.0,0.5386902254143305,0.17206756425521763,0.06
poly,1.0,,4.0,0.5215098294618349,0.13339249529360905,0.06
poly,1.0,,8.0,0.4819578923152501,0.13663190429969704,0.06
poly,2.0,,0.125,0.7427261467839235,0.11533302587063891,0.06
poly,2.0,,0.25,0.7153057671715329,0.12452762775614756,0.06
poly,2.0,,0.5,0.6689663882069496,0.12325512537658927,0.06
poly,2.0,,1.0,0.5900825798010579,0.15249977887675673,0.06
poly,2.0,,2.0,0.5723646781680953,0.1477966603082374,0.06
poly,2.0,,4.0,0.5473901437846181,0.17468860500390607,0.06
poly,2.0,,8.0,0.5176580187608127,0.15365272879300165,0.06
poly,4.0,,0.125,0.710208080562592,0.1029957031016408,0.06
poly,4.0,,0.25,0.7110836567410866,0.12009225793339168,0.06
poly,4.0,,0.5,0.61184212149821,0.14639439994762463,0.06
poly,4.0,,1.0,0.5795221352908979,0.14800240699039868,0.06
poly,4.0,,2.0,0.5361978184741385,0.15066373763819246,0.06
poly,4.0,,4.0,0.5135479013183121,0.15629682676031245,0.06
poly,4.0,,8.0,0.5197877024609014,0.15768562906299471,0.06
cauchy,0.25,,0.125,0.6806395375691655,0.12661708481871584,0.06
cauchy,0.25,,0.25,0.6655194737685413,0.11141254805421659,0.06
cauchy,0.25,,0.5,0.6816465617856338,0.12948967305206158,0.06
cauchy,0.25,,1.0,0.6417122023886239,0.11416141445837745,0.06
cauchy,0.25,,2.0,0.6209487567838676,0.11728284817657975,0.06
cauchy,0.25,,4.0,0.5954280313534387,0.10766222278478774,0.06
cauchy,0.25,,8.0,0.5878805301403941,0.10887510059390065,0.06
cauchy,0.5,,0.125,0.6937253622587,0.12030310254216854,0.06
cauchy,0.5,,0.25,0.6729725733418728,0.12186696989943108,0.06
cauchy,0.5,,0.5,0.6765703419062709,0.1151254630495814,0.06
cauchy,0.5,,1.0,0.6217774909336775,0.1144127839682939,0.06
cauchy,0.5,,2.0,0.6046895391376963,0.1288454756441178,0.06
cauchy,0.5,,4.0,0.5940573802093057,0.12603890535324772,0.06
cauchy,0.5,,8.0,0.5757413535340317,0.11225026018865303,0.06
cauchy,1.0,,0.125,0.6995140251351156,0.12372730914845628,0.06
cauchy,1.0,,0.25,0.6904457302387028,0.12430308377351637,0.06
cauchy,1.0,,0.5,0.6953503755835431,0.10734392843776337,0.06
cauchy,1.0,,1.0,0.6523932709565439,0.11170830800581061,0.06
cauchy,1.0,,2.0,0.6189627855186973,0.11934343423061702,0.06
cauchy,1.0,,4.0,0.6092598297214864,0.11168274098687091,0.06
cauchy,1.0,,8.0,0.5896299571721364,0.11644272559606128,0.06
cauchy,2.0,,0.125,0.7202334578621956,0.1121640543464461,0.06
cauchy,2.0,,0.25,0.6995050709939149,0.12017544679473503,0.06
cauchy,2.0,,0.5,0.6986380652034972,0.10244644232923791,0.06
cauchy,2.0,,1.0,0.6721296336286562,0.10187150334254211,0.06
cauchy,2.0,,2.0,0.6440337479625619,0.12333981567662858,0.06
cauchy,2.0,,4.0,0.6412474748654983,0.10682553222965989,0.06
cauchy,2.0,,8.0,0.5937124167427446,0.11043212699804535,0.06
cauchy,4.0,,0.125,0.7140648862327482,0.10609153801081694,0.06
cauchy,4.0,,0.25,0.7231308010041245,0.115388563707049,0.06
cauchy,4.0,,0.5,0.7023450683067576,0.1028772730298358,0.06
cauchy,4.0,,1.0,0.6723729368445391,0.11804740216317731,0.06
cauchy,4.0,,2.0,0.644312321814154,0.10509751331458274,0.06
cauchy,4.0,,4.0,0.6503388710213245,0.11091851014783202,0.06
cauchy,4.0,,8.0,0.617326164355249,0.11898463510494359,0.06
laplacian,0.25,,0.125,0.6474566311642802,0.10889921332490266,0.06
laplacian,0.25,,0.25,0.649243379382292,0.09534166148133533,0.06
laplacian,0.25,,0.5,0.655010481517581,0.09425011015650607,0.06
laplacian,0.25,,1.0,0.6054781651494994,0.10730392160935441,0.06
