kernel,C,A,gamma,mean_cindex,std,dataset
linear,0.25,,8.0,0.5940716630666746,0.06868046182865882,lung
linear,0.5,,0.125,0.5888436372528225,0.060656090416710336,lung
linear,0.5,,0.25,0.5942205493250942,0.08081118775615503,lung
linear,0.5,,0.5,0.5982273134927819,0.04288497387867569,lung
linear,0.5,,1.0,0.5723802597961501,0.053546038451172076,lung
linear,0.5,,2.0,0.5906970063668726,0.04599905358377969,lung
linear,0.5,,4.0,0.5760075970056678,0.04628282474288737,lung
linear,0.5,,8.0,0.5976999752858806,0.08054241134517402,lung
linear,1.0,,0.125,0.5935094331529329,0.03732670782333792,lung
linear,1.0,,0.25,0.6079361607409003,0.043631816806452575,lung
linear,1.0,,0.5,0.6200819167344085,0.042301837040337055,lung
linear,1.0,,1.0,0.6004120777733355,0.028662881220994196,lung
linear,1.0,,2.0,0.5572533944235872,0.04133442139773569,lung
linear,1.0,,4.0,0.6047225545378803,0.04906153022471,lung
linear,1.0,,8.0,0.6035971992053359,0.06840990811226155,lung
linear,2.0,,0.125,0.5772743112673381,0.04692842746195789,lung
linear,2.0,,0.25,0.597506771418395,0.03433271589436063,lung
linear,2.0,,0.5,0.5884178674649071,0.043145623419559014,lung
linear,2.0,,1.0,0.5846283057167334,0.03966479961115851,lung
linear,2.0,,2.0,0.6164772591179886,0.04546689648072037,lung
linear,2.0,,4.0,0.5889469143730556,0.05871559567888886,lung
linear,2.0,,8.0,0.562835190410248,0.038288660162976856,lung
linear,4.0,,0.125,0.6070889266495241,0.049018780742304986,lung
linear,4.0,,0.25,0.5902921971525539,0.060477102577619166,lung
linear,4.0,,0.5,0.6296349152679,0.04641223575116704,lung
linear,4.0,,1.0,0.5858948109217244,0.06740148519820623,lung
linear,4.0,,2.0,0.5901202763649864,0.055468053986747194,lung
linear,4.0,,4.0,0.5877758893685927,0.03740758178524698,lung
linear,4.0,,8.0,0.5896299511101282,0.04943083055978817,lung
rbf,0.25,,0.125,0.644409763634061,0.028891333284519784,lung
rbf,0.25,,0.25,0.6230770700721712,0.0207497128943705,lung
rbf,0.25,,0.5,0.595458571803181,0.041932411663509986,lung
rbf,0.25,,1.0,0.5239981218002623,0.057472711524503006,lung
rbf,0.25,,2.0,0.49778328045275666,0.024742957001697666,lung
rbf,0.25,,4.0,0.47568417485507936,0.02810166542918619,lung
rbf,0.25,,8.0,0.4788197941403224,0.02030238543436334,lung
rbf,0.5,,0.125,0.6467207256690164,0.044432564834315944,lung
rbf,0.5,,0.25,0.6139399045406603,0.04795612021318128,lung
rbf,0.5,,0.5,0.5532380416534741,0.043768059077960934,lung
rbf,0.5,,1.0,0.5125219507168188,0.05684704154956328,lung
rbf,0.5,,2.0,0.49959007793978066,0.054656378693235766,lung
rbf,0.5,,4.0,0.4614705078526872,0.03779172083451468,lung
rbf,0.5,,8.0,0.4791627544216692,0.03630764163113904,lung
rbf,1.0,,0.125,0.6664919523761033,0.044179108833586334,lung
rbf,1.0,,0.25,0.6190233626381519,0.036845703867837774,lung
rbf,1.0,,0.5,0.5853510430521502,0.032652356048211116,lung
rbf,1.0,,1.0,0.5194738476984779,0.04675444331658805,lung
rbf,1.0,,2.0,0.5199935274624254,0.04007437824365386,lung
rbf,1.0,,4.0,0.47532096950458574,0.07925265284145774,lung
rbf,1.0,,8.0,0.44250118046600584,0.03162732002044815,lung
rbf,2.0,,0.125,0.6589047365987704,0.022672378543215906,lung
rbf,2.0,,0.25,0.5967578076155452,0.026520771399277686,lung
rbf,2.0,,0.5,0.5762018246044998,0.03902317880094054,lung
rbf,2.0,,1.0,0.5292600064379638,0.05254712069391705,lung
rbf,2.0,,2.0,0.513299929734866,0.03898729439570724,lung
rbf,2.0,,4.0,0.46098959052288657,0.04919113696639728,lung
rbf,2.0,,8.0,0.46764628355755244,0.039889428889598656,lung
rbf,4.0,,0.125,0.6414092400056803,0.039066618336620555,lung
rbf,4.0,,0.25,0.6598948415827719,0.05885680184782417,lung
rbf,4.0,,0.5,0.5845229988526472,0.0404127732349209,lung
rbf,4.0,,1.0,0.5598474768111309,0.06040550772751004,lung
rbf,4.0,,2.0,0.4909418549526757,0.041597942487081666,lung
