kernel,C,A,gamma,mean_cindex,std,dataset
linear,0.25,,2.0,0.75270587136402,0.0314847946712259,whas500
linear,0.25,,4.0,0.7540103341987514,0.018225322807618943,whas500
linear,0.25,,8.0,0.7302093479902022,0.0326236414821761,whas500
linear,0.5,,0.125,0.7514558122957735,0.024156330916852996,whas500
linear,0.5,,0.25,0.7419622060064461,0.017836033210817493,whas500
linear,0.5,,0.5,0.7553655100156458,0.029924705940525927,whas500
linear,0.5,,1.0,0.7477382292276186,0.02333560525196869,whas500
linear,0.5,,2.0,0.7544756709683623,0.032789992653473335,whas500
linear,0.5,,4.0,0.736906049591127,0.03198558446883872,whas500
linear,0.5,,8.0,0.7514805568697135,0.029181729086294215,whas500
linear,1.0,,0.125,0.753471752588142,0.02520958291901032,whas500
linear,1.0,,0.25,0.747232846020973,0.023116849548666895,whas500
linear,1.0,,0.5,0.7648560482071047,0.03180354749176861,whas500
linear,1.0,,1.0,0.764252458191573,0.027251402009565502,whas500
linear,1.0,,2.0,0.7558825224732999,0.03412233012683938,whas500
linear,1.0,,4.0,0.7491701664998343,0.024296857264967598,whas500
linear,1.0,,8.0,0.7470592182698731,0.02900226412910526,whas500
linear,2.0,,0.125,0.7426669443352423,0.03412374218980469,whas500
linear,2.0,,0.25,0.7520690802592577,0.03584437991996552,whas500
linear,2.0,,0.5,0.7436512102923389,0.025961670674564192,whas500
linear,2.0,,1.0,0.7542636626950903,0.019008686283836267,whas500
linear,2.0,,2.0,0.7477001836715417,0.035472461730491685,whas500
linear,2.0,,4.0,0.7637008012737704,0.03442775449067721,whas500
linear,2.0,,8.0,0.7329739515508653,0.03192935884381201,whas500
linear,4.0,,0.125,0.7537825246076155,0.026009841670459017,whas500
linear,4.0,,0.25,0.7450146520199729,0.023970789849403182,whas500
linear,4.0,,0.5,0.7506732428611453,0.02623031709311351,whas500
linear,4.0,,1.0,0.754677224259279,0.01682040482804749,whas500
linear,4.0,,2.0,0.7404857665310197,0.029942755454025912,whas500
linear,4.0,,4.0,0.7592247474860603,0.017896885998832577,whas500
linear,4.0,,8.0,0.7449851435598762,0.03372595416891625,whas500
rbf,0.25,,0.125,0.6911750338001831,0.02382242450608248,whas500
rbf,0.25,,0.25,0.66612368383497,0.02265673612802254,whas500
rbf,0.25,,0.5,0.6038959254803091,0.031847439075084825,whas500
rbf,0.25,,1.0,0.5609629295834908,0.041596098829053844,whas500
rbf,0.25,,2.0,0.5315583259636065,0.03970772474462594,whas500
rbf,0.25,,4.0,0.5541747414827443,0.024798804648785186,whas500
rbf,0.25,,8.0,0.5432308367249544,0.021938861792491587,whas500
rbf,0.5,,0.125,0.6962875810366681,0.02030841503856741,whas500
rbf,0.5,,0.25,0.6648282479249052,0.03127939562461676,whas500
rbf,0.5,,0.5,0.618222983220869,0.03219317861603201,whas500
rbf,0.5,,1.0,0.5742461762167043,0.03597574389585768,whas500
rbf,0.5,,2.0,0.5572431554465174,0.034751471163762974,whas500
rbf,0.5,,4.0,0.5545430606454989,0.029868108877715707,whas500
rbf,0.5,,8.0,0.5222090601520958,0.021371325705048436,whas500
rbf,1.0,,0.125,0.6767629300030991,0.04592430598846876,whas500
rbf,1.0,,0.25,0.6416857726190355,0.017572538217276796,whas500
rbf,1.0,,0.5,0.6005608324138626,0.024862711416241617,whas500
rbf,1.0,,1.0,0.5700713094228657,0.02389794694574976,whas500
rbf,1.0,,2.0,0.5626606156287878,0.04337768259733886,whas500
rbf,1.0,,4.0,0.5390468526993898,0.032283035549441313,whas500
rbf,1.0,,8.0,0.5270490000464317,0.021234777114977618,whas500
